unique_collection,uri,Name
CoC-9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA,https://arweave.net/2PpoPlYdr3jvHWJIMClr0ayyhKvOoybubUSRZPWR5A4,Cets on Creck
DAPE-9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L,https://arweave.net/dJGenD_ud743CSk-lzJ0gMCGjg2My85kdBFQjA955ns,Degen Ape
DDB-AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe,https://bafkreifiuca7uxio5evv4hhpamttqa3tdks3uyrjqf2pd4i67klqkuu3ja.ipfs.nftstorage.link/,Degen Drop Bear
DFC-HsEfZ7wu3Gok2nCRX1vR6F5g5f3QHukA3AnYUxKiJMBA,https://degenfatcats.s3.amazonaws.com/assets/11998.json,Degen Fat Cat
DGOD-AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,https://metadata.degods.com/g/7509.json,DeGods
DINO-36tfiBtaDGjAMKd6smPacHQhe4MXycLL6f9ww9CD1naT,https://nftstorage.link/ipfs/bafkreigq5y3fgbq522h23yxs2577rur3foygxad7is76vib6apb6qa3jym,Claynosaurz
DTP-trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH,https://arweave.net/91J6mFup0cPNKFJfppjN1Nj_jCuIog3AXiLnBLAMlRU,Degen Trash Pandas
FFF-3pMvTLUA9NzZQd4gi725p89mvND1wRNQM3C8XEv1hTdA,https://famousfoxes.com/metadata/1009.json,Famous Fox Federation
FOODIES-E3ywHQ95zLevrQoLrCzYX2rLvNVuL9vewqUGtDsyKnsd,https://bafybeibmltppthl6zrnjr5r2agko7funwdyvmwgjmg6hyo5aavrpvyeyiu.ipfs.nftstorage.link/611.json,Plato Foodies
FROG-J7ksBknCjcDcNGCTK8wrDHaxpBozkep33Wv5vBsvMZzw,https://arweave.net/JmVLGvdLyLXEVnHE1Atq5pgKsCAHKTroIAr2eHAyZTc,Frog
GGSG-N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M,https://arweave.net/uzZXbufaE2yrlr2d6pZWjovjI7bflVlaa58zBJrgK6Q,Galactic Gecko Space Garage
GhostKid-GkDKTomikDzJMLupsWCuSFqb6A5sap3jHhYuPXFBXsmR,https://bafybeihubivxipjpqu6vvpx36ym5dz75ul3oew2a6bde2n5d3jnn7zjrq4.ipfs.nftstorage.link/961.json,Ghost Kid
LILY-3NoPerEGS1JpPA6FGYpPfKJ8QUkBjYPngST2pwpQt7ED,https://bafybeibh7jov6vmqo76ycnihairv7sqnblg74isi5ei32afp3zsfkch2li.ipfs.nftstorage.link/6279.json,LILY
LS-AcqTbKg9F3voASdkD9AYX6iStLWxtAng6pkpXVNA3i9w,https://arweave.net/a7hlKQD6fngIh5eUdR5pULr8Tu7PEL-FqV4uISd7-g8,Liberty Square
LSTH-GoUZSJ3aFSSQzACkpYKqvrrmPidqpQR5pvfMMwuaGKzC,https://bafybeih6sh23sdosbu6sfuslvnlhryg7mou4bnhtscevf2mkjt576qvvtu.ipfs.nftstorage.link/9423.json,Liberty Square: The Hallowed
LUNAR-2Atc6cZWXds3Zt7DvVeR1yE6Y6jwGQpM7j22gPe1xCeJ,https://arweave.net/BuzTIlgvsnI4wXK4A0nteRXouMIAFO-sz_KCnYmpqW8,Lunar
Lost-6MJpwzoqf9HMWjtGZ9BPvH1JNZTp1nDT8k6Umupx7bV9,https://sdfs23424cvbcfg45342xgf.xyz/ipfs/get/c16a5320fa475530d9583c34fd356ef5_mint/?num=114&i=MQ%3D%3D,Lost Miners Claim Passes
Lotus Lad-3n1mz8MyqpQwgX9E8CNPPZtAdJa3aLpuCSMbPumM9wzZ,https://arweave.net/aXlXyW9znSw2KZYFiRXl6daI0WLWoiPaaK3WnHIdQfs,Lotus Gang
Lotus Lady-3n1mz8MyqpQwgX9E8CNPPZtAdJa3aLpuCSMbPumM9wzZ,https://arweave.net/R4kLWno2SDAtvJXv7i4G0RTQxB-cxJnFiBSK93IDkyk,Lotus Gang
MBB-CATPa1APxUC7L3KaWkR2Aiy5LYBThRiNQM1MFrTDC9ZC,https://arweave.net/SKvkghL7HBHXTJFHIf1GvkGqrhwygGwDyp1C-uOYjv0,MBB
MO-78kr1oHhVYgmGnfFvh871yjfrqRT1a8RmzEvc5npY5ws,https://sdfs23424cvbcfg45342xgf.xyz/ipfs/get/1c383cd30b7c298ab50293adfecb7b18_mint/?num=80&i=MQ%3D%3D,Momentum Official
MTC-H5TudgxU6pFgjZSuEPyyz88x1ta2YR9RVcA87gJHJkek,https://ipfs.ordo.so/api/v1/metadata/fd06da6054579a0838cd665bfd5462edf1dc582fa9792d7c86a720a7f809766cd1ce26f3e9a5a56de6fa,Meta Tattoo Club
OAK-DnDoka58trADnQNt3u8uGEP6Y9LUAVm4wjHJCMi1g256,https://arweave.net/pL-ciZi38cWvoYhBiIcFXQ3uT7CyYATX-NfEZ8bTsKQ,Oak Paradise
OE-4NHnAXLADuBxeWtDLBhDodtRiFkALddcftr2k8JWQkXy,https://sdfs23424cvbcfg45342xgf.xyz/ipfs/get/e2ef524fbf3d9fe611d5a8e90fefdc9c_mint/?num=22&i=MQ%3D%3D,Oty Editons
OIL-CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,https://arweave.net/Tb_BDm57GXG18DpZUUVbCn5DhwbdMnvbDYO0UZkHcCY,Taiyo Oil
OVOL-ovo1kT7RqrAZwFtgSGEgNfa7nHjeZoK6ykg1GknJEXG,https://shdw-drive.genesysgo.net/HLqiJ3yEN5A5tL5FXDCPqySTmadHH22YER6LFmArb2am/1951.json,Elixer: Ovols
Out-78kr1oHhVYgmGnfFvh871yjfrqRT1a8RmzEvc5npY5ws,https://sdfs23424cvbcfg45342xgf.xyz/ipfs/get/d67d8ab4f4c10bf22aa353e27879133c_mint/?num=37&i=MQ%3D%3D,The Outercasts
PB-EdPqVVXm4JAy1AqbnFTXFK2K5Je4ZwPoDhnq7YNKxEo6,https://sdfs23424cvbcfg45342xgf.xyz/ipfs/get/68d30a9594728bc39aa24be94b319d21_mint/?num=6&i=MQ%3D%3D,Pixel Boy
PFGZ-GqagXhTUMoxrWbu7pAAMZiYHBoSoJN3h5AUzQuvuMN3b,https://cdn.stylishstuds.io/prod-nft-metadata/wfetceXmzhisvrLyTMMiXE2o3iLbkhutK8TzgKYCof7,Generation Zero Horse
PNK1561-6TeFyGYumigavUpRBcgS7vYVfGCF2g4F5UW3qvkjhwW3,https://arweave.net/dSzkMe1bXqm-fmN6f33CBvPS1K7BhiKIEw3BXAK10Pw,punk 1561
PNK7148-8mUJcs64gh7PhT8zMz1U3RpU4ze9QMHfXaEjTwURcyYZ,https://arweave.net/1drD7XdFGJyuVec4AVmafA7bTtQfTGdKe1PvG9ppoX0,punk 7148
POP-2T3nPvNXML4sEKk9AErbjohKS1mgTYXiY7LXQXPRwnoG,https://arweave.net/XIdnYjbPs5oYNOFlNCTM6c74dDnzItOV6R0FCiX7eRY,POPHEADZ
PP-2fefuKxoB48fG5rvYbTUZXmhFb77yFBJW7zH9cPmbNGo,https://sdfs23424cvbcfg45342xgf.xyz/ipfs/get/93db85ed909c13838ff95ccfa94cebd9_mint/?num=90&i=MQ%3D%3D,Puppies
PRIM-FsSViDSVB1FjxYFki2ouT7NVBgXaeeqjTJhurBAn9uKV,https://shdw-drive.genesysgo.net/GaNrVF4DzqFsiatrVbe7KozDHaR4JNGBvZuEfzUJSKoe/2324.json,Primates
PRTL-GdtkQajEADGbfSUEBS5zctYrhemXYQkqnrMiGY7n7vAw,https://arweave.net/MNJSuLrcW8-DOlpl-9QLEHMupSQeOM8OLnYC9K08ctI,Portals
SAC-PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb,https://arweave.net/A4siSYO-W4JlEeky-HeJgL_ZRjf1bNTnaCnVMjsnUpM,Stoned Apes
SD-2HSqLCqNaXp1p26gTDwNoC4xtgZRb9UvLwrKUEX1rxSy,https://arweave.net/ZeXT3DExuRoVwrWFXM540AEFkVgUEOjCfq4Jj91ISZk,SoDead Coffins
SIMMPLE-7hNvH6Sym5BiyZpJsxdPf6ubRfmXhDZXbCNM3UdiHuCd,https://shdw-drive.genesysgo.net/4k5JR9hV22VDjopZ1T37aoCvuUvM8g3EdNTHHjJiUej5/BME9DtmB2KbgKogumFtswCYMTibkC8hZnaomQqfqGmL9.json,Simmple Labs
SMB-9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F,https://arweave.net/cUTZBqIUWd21u4nIQRc41m-56P9pDVtEOk5nmSS0EHQ,Solana Monkey Business: SMB Gen2
SOLGods-Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h,https://arweave.net/DH85nTvLzOplvxdDjIIYD3TMiEa5svN-W9Gx8nQziDM,SOLGods
SP-8zyirBgjPi2PpoKpXPx8uB7Bgs5RPGGWEq6DA9FMQEUm,https://sdfs23424cvbcfg45342xgf.xyz/ipfs/get/fe9fc289c3ff0af142b6d3bead98a923_mint/?num=21&i=MQ%3D%3D,SolPanda
SSC-D6wZ5U9onMC578mrKMp5PZtfyc5262426qKsYJW7nT3p,https://shdw-drive.genesysgo.net/8yHTE5Cz3hwcTdghynB2jgLuvKyRgKEz2n5XvSiXQabG/634.json,Shadowy Super Coder
Sardinhas-5WxAkShJQa7LZ4s1AawoRLiCb1XpvYk6EfhiENEcXRDS,https://shdw-drive.genesysgo.net/J6frjAo2kjvKgDkCVK7STPXmDueAAyw7JxNrEQ2hYmZ5/sardinhas.json,Sardinhas
TFF-MwW2RfWAfGrKmh9QAkDELdEV7Ue39FoP885dhuHmqr9,https://ipfs.io/ipfs/QmX6QQsR3amkKrW4tLpiU3q61hcoUVptkp3MU8rk5kPhDz,Transdimensional Fox Federation
TYR Infant-CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,https://arweave.net/mjn2ntvxchPK2-j6egneDWa0CAKQMSMFD_9WHM0fAvI,Taiyo Infant :TYR-Infant
TYR-CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,https://cdn.taiyorobotics.com/metadata/002fa9ef0da348ae6b891f6be64430ad.json,Taiyo Robotics
UGS-F7kryTJ5VJK84DVJrMPBK1r2qLRifNzZ7AvdnuWgW43N,https://bafybeifvxc5n6bvpqerier6yr7y3hxigv6kb3a7crv3zqljq5ac6xnvrsm.ipfs.nftstorage.link/4921.json,Underground Society
UKIYO-9NngpZ8PBgVjLYmRCN1MkcYYYV733kDDaxka2mwYCRwd,https://arweave.net/AcD92xbZwmh57QN9t7jeR8ZYEtrJz9edI-2I6pIqSpU,Ukiyo
VC-5bNF7aWAuJdwRaqNUruDUvgTZ2UYFQbtGRRmnmNVHari,https://storage.googleapis.com/vc-metadata.appspot.com/json/9559.json,Vandal
Y00T-yootn8Kf22CQczC732psp7qEqxwPGSDQCFZHkzoXp25,https://metadata.y00ts.com/y/13997.json,y00ts
YC-HAYSaH8g98YeA7cxg5d4YK7k9RzKYDhrbPfD4vyZverN,https://arweave.net/wOLlImIBxGJCz3WQEc9jVu3cvlGle1m3uobSoKQBksI,Jelly Rascals
md-FfD7hqFX7dDN17FwFBuKJ2KtkV2MJTr8PLTavcyGkn1,https://sdfs23424cvbcfg45342xgf.xyz/ipfs/get/98dce83da57b0395e163467c9dae521b_mint/?num=90&i=MQ%3D%3D,MooDoo
okay_bears-7zL7HVn85F5yFT6XM3BsJcQF7PBcNE7R2BT5GyfunpKe,https://bafybeigtouebpxhlaps7f3mlvo7lwortfc7umg7dp2q6uut3muiwarslee.ipfs.nftstorage.link/8747.json,Okay Bears
sLUV-81TXteMkFMyJqwXiE5agg1QmmAvUdCyr4jJT5dvz2XPd,https://bafybeid7kxxgizawffkkdt7tc6fcumjdzftsxtt3ox7mltpkgg3g4krvf4.ipfs.nftstorage.link/3054.json,Sorcery Inc
sharx-7YdUTMtUauMjtezjwMzyaAUu1A92qCF1yx8AiiZ38ovs,https://arweave.net/qlfsNPmy_dVsrlRqXg-1e7ehAOfibx46-bQomVN2l8U,Sharx
t00b-yootn8Kf22CQczC732psp7qEqxwPGSDQCFZHkzoXp25,https://metadata.y00ts.com/t/1976.json,y00ts: mint t00b
